APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
"Majiwade V.v. Chs,  for Rent  In Shivai Nagar","18,000","₹75,000",No Extra Maintenance,610 sqft,Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
Thane,"5,000","₹20,000",No Extra Maintenance,100 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
"Rajeshwari Society for Rent  In Teen Petrol Pump Junction, Lalbahadur Shastri Road, Panch Pakhdi, Thane West, Thane, Maharashtra, India","22,000","₹50,000",No Extra Maintenance,750 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Thane West,"32,000","₹1,20,000",No Extra Maintenance,108 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
"Manobal Chs, Mahatma Phule Nagar for Rent  In Mahatma Phule Nagar","20,000","₹80,000",No Extra Maintenance,850 sqft,Negotiable,Semi Furnished,2 BHK,Family,27-Nov-2023
"Eva  for Rent  In Hiranandani Estate, Thane West","40,000","₹2,00,000",No Extra Maintenance,999 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Wellington Hiranandani Estate for Rent  In Thane West,"45,000","₹2,00,000",No Extra Maintenance,680 sqft,Non-Negotiable,Fully Furnished,2 BHK,Family,15-Nov-2023
Shree Siddhivinayak Residency for Rent  In Naupada,"35,000","₹2,00,000",No Extra Maintenance,845 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Kailesh for Rent  In Thane West,"8,500","₹25,000",+₹ 400Maintenance,300 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Atlas Towers for Rent  In Kasarvadavali,"19,000","₹50,000",No Extra Maintenance,900 sqft,Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
Cosmos Jewels for Rent  In Thane,"30,000","₹1,50,000",No Extra Maintenance,"1,000 sqft",Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Hiranandani Meadows for Rent  In Thane West,"57,000","₹2,60,000",No Extra Maintenance,"1,200 sqft",Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Mohan Mahal for Rent  In Panch Pakhadi,"30,000","₹1,50,000",No Extra Maintenance,850 sqft,Non-Negotiable,Unfurnished,2 BHK,All,01-Dec-2023
Thane West,"5,000","₹30,000",No Extra Maintenance,300 sqft,Non-Negotiable,Fully Furnished,1 RK,Family,Ready to Move
Garden Court for Rent  In Thane West,"18,000","₹1,00,000",No Extra Maintenance,530 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Lodha Splendora  for Rent  In Thane West,"22,000","₹1,50,000",No Extra Maintenance,675 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Thane West,"40,000","₹2,00,000",No Extra Maintenance,767 sqft,Non-Negotiable,Unfurnished,2 BHK,Company,01-Dec-2023
Raunak Heights for Rent  In Thane West,"16,000","₹70,000",No Extra Maintenance,546 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Osho Ashtsvinayak Chs for Rent  In Shivaji Nagar,"16,000","₹60,000",No Extra Maintenance,325 sqft,Non-Negotiable,Unfurnished,1 RK,All,30-Nov-2023
Vijay Yashraj Park for Rent  In Thane West,"13,000","₹65,000",No Extra Maintenance,441 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Cosmos Springs for Rent  In Thane West,"20,000","₹1,20,000",No Extra Maintenance,925 sqft,Negotiable,Unfurnished,2 BHK,Family,01-Nov-2023
"Cosmos Lounge, Thane West for Rent  In Thane West","22,000","₹2,20,000",No Extra Maintenance,630 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Mahesh Ganga Rabodi Thane for Rent  In Mahesh Ganga,"7,500","₹30,000",No Extra Maintenance,250 sqft,Non-Negotiable,Unfurnished,1 RK,Family,05-Nov-2023
"Matoshri Apartment for Rent  In Savarkar Nagar, Thane West","8,500","₹50,000",No Extra Maintenance,300 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Surabhi Chs for Rent  In Thane West,"30,000","₹75,000",No Extra Maintenance,"1,100 sqft",Negotiable,Semi Furnished,2 BHK,All,24-Nov-2023
Lodha Splendora Tierra for Rent  In Bhayandarpada,"25,000","₹2,75,000",No Extra Maintenance,"1,000 sqft",Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Sahil Pride Residency Daffodil, Kasarvadavali for Rent  In Kasarvadavali","12,500","₹40,000",No Extra Maintenance,400 sqft,Negotiable,Semi Furnished,1 RK,All,04-Nov-2023
Bijal Society for Rent  In Thane West,"28,000","₹1,00,000",No Extra Maintenance,560 sqft,Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
"Shree Ram Smiti, Thane for Rent  In Thane West","10,000","₹30,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Maa Durga Mata  for Rent  In Thane West,"8,500","₹20,000",No Extra Maintenance,250 sqft,Negotiable,Semi Furnished,1 RK,Family,Ready to Move
"Dream Arcade, Thane for Rent  In Thane","18,000","₹1,00,000",No Extra Maintenance,205 sqft,Negotiable,Unfurnished,1 RK,Company,Ready to Move
Ravi Uday Chs for Rent  In Thane West,"30,000","₹90,000",No Extra Maintenance,750 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Zamzam Tower for Rent  In Rabodi,"15,000","₹1,00,000",No Extra Maintenance,450 sqft,Negotiable,Semi Furnished,1 BHK,Family,17-Oct-2023
Puranik City for Rent  In Thane West,"23,320","₹93,280",No Extra Maintenance,729 sqft,Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Oyster Chs for Rent  In Thane West,"52,000","₹3,00,000",No Extra Maintenance,"1,190 sqft",Negotiable,Fully Furnished,3 BHK,All,01-Nov-2023
Nil Sagar Cooperative Housing Society for Rent  In Thane East,"17,000","₹1,00,000","+₹ 17,000Maintenance",700 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Standalone Building  for Rent  In Bhayandarpada,"25,000","₹75,000",No Extra Maintenance,450 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
"Rosa Bella Chs Ltd. for Rent  In Waghbil, Thane West","45,000","₹2,50,000",No Extra Maintenance,"1,050 sqft",Negotiable,Fully Furnished,2 BHK,All,Ready to Move
"Sky Suites for Rent  In Owale,thane West","42,000","₹2,50,000",No Extra Maintenance,"1,595 sqft",Non-Negotiable,Semi Furnished,3 BHK,Family,15-Nov-2023
 Thane East,"12,000","₹50,000",No Extra Maintenance,120 sqft,Non-Negotiable,Unfurnished,1 RK,Family,01-Nov-2023
"Hiranandani Fedora for Rent  In Hiranandani Estate, Thane West","32,000","₹1,00,000","+₹ 3,500Maintenance",450 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
"Gulshan Manzil  for Rent  In Shivaji Nagar, Kisan Nagar 1, Thane West","5,500","₹20,000",+₹ 200Maintenance,165 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Datta Samarth for Rent  In Thane East,"18,500","₹50,000",No Extra Maintenance,315 sqft,Negotiable,Unfurnished,1 RK,Family,Ready to Move
"Om Sai Krupa Chs, Thane West for Rent  In Thane West","28,000","₹90,000","+₹ 2,000Maintenance",850 sqft,Negotiable,Fully Furnished,2 BHK,Family,20-Oct-2023
Lodha Splendora River View for Rent  In Ghodbunder Road,"27,000","₹1,10,000",No Extra Maintenance,643 sqft,Negotiable,Fully Furnished,2 BHK,All,06-Nov-2023
Surya Upvan Chs for Rent  In Gawand Baug,"20,000","₹1,20,000",No Extra Maintenance,485 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Thane West,"14,000","₹50,000",No Extra Maintenance,430 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
"Hiranandani Estate, Thane West","45,000","₹4,50,000",No Extra Maintenance,970 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
 Thane West,"6,500","₹40,000",No Extra Maintenance,250 sqft,Negotiable,Semi Furnished,1 RK,All,30-Oct-2023
Lodha Splendora Platino E To G Vivant A To D for Rent  In Thane West,"30,000","₹1,00,000",No Extra Maintenance,900 sqft,Negotiable,Semi Furnished,2 BHK,"Family, Male",06-Nov-2023
Soham Parijat Gardens for Rent  In Thane West,"13,000","₹60,000",No Extra Maintenance,475 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Standalone Building  for Rent  In Thane West,"15,000","₹60,000",No Extra Maintenance,621 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Sitar Apartment for Rent  In Thane West,"20,000","₹1,00,000","+₹ 4,000Maintenance",600 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Ganpati Villa for Rent  In Thane West,"16,000","₹75,000",No Extra Maintenance,400 sqft,Non-Negotiable,Semi Furnished,1 RK,Family,Ready to Move
"Fiama Residency  for Rent  In Kasarvadavali Road, Thane West","15,000","₹50,000",No Extra Maintenance,592 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"The Rutu Estate,gb Road, Patlipada,thane for Rent  In Thane West","17,000","₹60,000",No Extra Maintenance,700 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Padmavati Apartment  for Rent  In Thane West,"50,000","₹3,00,000","+₹ 2,500Maintenance",700 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Godrej Emerald Vista for Rent  In Ghodbunder Road,"21,000","₹75,000",No Extra Maintenance,540 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Vrindavan Chs Thane West for Rent  In Vrindavan Society,"25,000","₹75,000",No Extra Maintenance,745 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Hiranandani Buttercup for Rent  In Thane West,"45,000","₹2,00,000","+₹ 4,000Maintenance","1,000 sqft",Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Hiranandani Flora for Rent  In Thane West,"35,000","₹1,80,000",No Extra Maintenance,630 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Swastik Apartments for Rent  In Thane West,"25,000","₹1,50,000",No Extra Maintenance,780 sqft,Negotiable,Fully Furnished,2 BHK,All,Ready to Move
Harmony Signature Towers for Rent  In Thane West,"50,000","₹1,50,000",No Extra Maintenance,"1,592 sqft",Non-Negotiable,Fully Furnished,4 BHK,Family,Ready to Move
"Horizon Heights  for Rent  In Kasarvadavali, Thane West","21,000","₹1,00,000",No Extra Maintenance,625 sqft,Negotiable,Fully Furnished,1 BHK,Family,20-Oct-2023
Chawan Tower for Rent  In Mahatma Phule Nagar,"15,000","₹80,000",No Extra Maintenance,455 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Adimath Apartment for Rent  In Thane West,"16,000","₹50,000",No Extra Maintenance,300 sqft,Negotiable,Fully Furnished,1 RK,All,Ready to Move
Lodha Splendora Platino E To G Vivant A To D for Rent  In Thane West,"28,000","₹1,00,000",No Extra Maintenance,780 sqft,Negotiable,Semi Furnished,2 BHK,All,01-Nov-2023
"New Rachana Park Chs for Rent  In Manorama Nagar, Thane West","16,000","₹50,000",No Extra Maintenance,500 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
Puranik Aarambh for Rent  In Ghodbunder Road,"20,000","₹80,000","+₹ 3,500Maintenance",450 sqft,Negotiable,Semi Furnished,1 BHK,Company,22-Oct-2023
Stand Alone Building for Rent  In Thane West,"15,000","₹70,000",No Extra Maintenance,450 sqft,Non-Negotiable,Unfurnished,1 BHK,All,30-Nov-2023
"Reputed Lokpuram Complex for Rent  In Vasant Vihar, Thane West","20,000","₹1,00,000",No Extra Maintenance,"1,100 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Hiranandani Estate Rodas Enclave for Rent  In Rodas Enclave,"65,000","₹4,00,000","+₹ 5,000Maintenance","1,000 sqft",Non-Negotiable,Semi Furnished,3 BHK,All,01-Nov-2023
Sheetal Niwas Naupada Thane for Rent  In Thane West,"22,000","₹99,999",No Extra Maintenance,400 sqft,Negotiable,Semi Furnished,1 RK,Family,Ready to Move
Nav Dattatraya Chs Ltd. for Rent  In Thane East,"30,000","₹1,50,000",No Extra Maintenance,680 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Manas Building for Rent  In Thane West,"22,000","₹1,00,000",+₹ 700Maintenance,640 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Kalpataru Hills for Rent  In Thane West,"42,000","₹2,00,000",No Extra Maintenance,"1,600 sqft",Non-Negotiable,Semi Furnished,3 BHK,Family,01-Nov-2023
"Pradeep Smriti for Lease  In Mahagiri Koliwada, Jambli Naka, Thane West, Thane, Maharashtra, India",Only Deposit,"₹45,00,000",No Extra Maintenance,650 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Haware Haware Citi for Rent  In Mystic Mandar, Haware City, Thane West, Thane, Maharashtra 400615, India","10,000","₹30,000",No Extra Maintenance,240 sqft,Negotiable,Semi Furnished,1 RK,All,16-Nov-2023
Vihang Valley for Rent  In Thane West,"16,000","₹60,000",No Extra Maintenance,600 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
"Apartment for Rent  In Waghbil, Thane West","22,000","₹70,000",No Extra Maintenance,805 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Shyam Kamal for Rent  In Court Naka,"35,000","₹1,50,000",No Extra Maintenance,750 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Harmony Sky Suites for Rent  In Owale,thane West","41,000","₹2,00,000",No Extra Maintenance,"1,500 sqft",Negotiable,Fully Furnished,3 BHK,Family,27-Nov-2023
"Kavya Residency for Rent  In Ghodbunder Road, Thane West","20,000","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Thane West,"9,000","₹20,000",No Extra Maintenance,270 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
"Dharma Apartment for Rent  In Thane,","18,000","₹1,00,000",No Extra Maintenance,710 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Thane West,"16,000","₹50,000",No Extra Maintenance,300 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Aban Park Society Mahesh Bldg,  A, Wing for Rent  In Aban Park, Mahesh Bld","15,000","₹50,000",No Extra Maintenance,650 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
"Raunak Tulip, Thane West for Rent  In Unnathi Gardens","40,000","₹1,50,000",No Extra Maintenance,"1,100 sqft",Negotiable,Fully Furnished,3 BHK,All,Ready to Move
Girikunj Housing Society for Rent  In Thane West,"48,000","₹2,00,000",No Extra Maintenance,"1,700 sqft",Negotiable,Semi Furnished,3 BHK,All,Ready to Move
Jaydeep Prathamesh Hills for Rent  In Mumbai,"35,000","₹1,50,000",No Extra Maintenance,"1,025 sqft",Non-Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Rustomjee Azziano Lona for Rent  In Majiwada,"40,000","₹3,00,000",No Extra Maintenance,850 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Ashar Edge for Rent  In Thane West,"34,000","₹2,04,000","+₹ 2,000Maintenance",618 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Bhoomi Acres, Thane West  for Rent  In Thane West","30,000","₹1,50,000",No Extra Maintenance,925 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Vijay Orovia for Rent  In Thane West,"40,000","₹1,50,000",No Extra Maintenance,"1,220 sqft",Negotiable,Unfurnished,3 BHK,Family,Ready to Move
Alwaris Building for Rent  In Thane West,"25,000","₹1,00,004",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Runwalnagar for Rent  In Thane West,"21,000","₹1,00,000",No Extra Maintenance,650 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
"Lodha Splendora River View, Ghodbunder Road for Rent  In Ghodbunder Road","23,000","₹70,000",No Extra Maintenance,643 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Sree Krishna Dham Society for Rent  In Thane West,"12,000","₹50,000",No Extra Maintenance,462 sqft,Non-Negotiable,Unfurnished,1 RK,Family,01-Dec-2023
Raunak Heights for Rent  In  Borivade Village Thane,"16,000","₹50,000",No Extra Maintenance,501 sqft,Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Swastik Park for Rent  In Thane,"17,000","₹1,00,000",No Extra Maintenance,540 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
Hubtown Greenwoods for Rent  In Thane West,"22,000","₹1,00,000",No Extra Maintenance,555 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Lodha Splendora River View for Rent  In Thane West,"26,000","₹1,00,000",No Extra Maintenance,652 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Sai Darshan Building for Rent  In Thane West,"6,500","₹35,000",No Extra Maintenance,275 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
"Shivneri Chs, Thane West for Rent  In Thane West","25,000","₹1,50,000","+₹ 2,000Maintenance",307 sqft,Non-Negotiable,Fully Furnished,1 RK,All,Ready to Move
"Hiranandani Canary, Mumbai for Rent  In Hiranandani Estate, Thane West","55,000","₹3,00,000",No Extra Maintenance,"1,300 sqft",Negotiable,Semi Furnished,3 BHK,Family,01-Nov-2023
Vishwas Chs for Rent  In Thane East,"32,000","₹1,00,000",No Extra Maintenance,680 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Vandanwan Society for Rent  In Thane West,"21,000","₹1,00,000",No Extra Maintenance,570 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Society Virar for Rent  In Virar East,"5,500","₹20,000",No Extra Maintenance,558 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Amruteshwar Nivas  for Rent  In Thane West,"12,000","₹40,000",No Extra Maintenance,300 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
Prestige Residency for Rent  In Thane West,"26,000","₹1,00,000",No Extra Maintenance,960 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Jeevandharma Chs for Rent  In Kopri,"24,000","₹1,00,000",No Extra Maintenance,550 sqft,Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Runwal Plaza for Rent  In Kores Road,"20,000","₹50,000",No Extra Maintenance,525 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
Saket Towers Chs Ltd for Rent  In Kalwa,"30,000","₹1,00,000","+₹ 2,500Maintenance","1,000 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Rustomjee Azziano Wing I for Rent  In Mumbai,"42,000","₹3,00,000",No Extra Maintenance,790 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Karmakshtra Apartment Naupada Thane for Rent  In Naupada Police Station,"20,000","₹1,00,000",+₹ 100Maintenance,450 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
"Puranik City Sankul, Owale for Rent  In Owale","16,500","₹60,000",No Extra Maintenance,597 sqft,Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Laabh Neelkanth for Rent  In Thane West,"70,000","₹3,00,000",No Extra Maintenance,"1,500 sqft",Negotiable,Semi Furnished,3 BHK,All,Ready to Move
"Anand Kirti Chs for Rent  In Thane East,","18,500","₹80,000",No Extra Maintenance,535 sqft,Negotiable,Semi Furnished,1 BHK,Family,19-Oct-2023
Unnathi Woods Phase Ii for Rent  In Thane,"18,500","₹75,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Sukh Sagar Residency  for Rent  In  Thane West,"11,500","₹50,000",No Extra Maintenance,420 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
"Lok Upvan Apartment Phase 2, Vasant Vihar for Rent  In Vasant Vihar","42,400","₹2,00,000",No Extra Maintenance,950 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Runwal Nagar B Plot for Rent  In Runwal Nagar- B Plot,"23,000","₹1,20,000",No Extra Maintenance,575 sqft,Negotiable,Semi Furnished,2 BHK,"Family, Female",17-Oct-2023
Hirabai Amar Singh Chs for Rent  In Thane West,"5,500","₹20,000",No Extra Maintenance,250 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Kolungade Chs for Rent  In Thane West,"20,000","₹1,00,000","+₹ 2,030Maintenance",630 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Devashree Garden for Rent  In Thane West,"33,000","₹2,00,000",No Extra Maintenance,914 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
"Harasiddh Park, Pawar Nagar for Rent  In Thane West","21,000","₹1,50,000",No Extra Maintenance,550 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
"Majiwade Alguj Chs  for Rent  In Pawar Nagar, Thane West","25,000","₹1,50,000",No Extra Maintenance,775 sqft,Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Unnathi Woods Anand Nagar for Rent  In Unnathi Woods Road,"20,000","₹1,00,000",No Extra Maintenance,750 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Intelligentia Spectrum  for Rent  In Thane,"17,000","₹1,00,000",No Extra Maintenance,672 sqft,Negotiable,Unfurnished,1 BHK,Family,17-Nov-2023
Kores Nakshatra  for Rent  In Thane West,"26,000","₹1,25,000",No Extra Maintenance,432 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Unnathi Woods for Rent  In Kavesar, Thane West","17,500","₹75,000",No Extra Maintenance,575 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Supernal Garden for Rent  In Dhokali,"33,000","₹1,50,000",No Extra Maintenance,945 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
